../jeu_100_25_4.txt_3_currentFirst	../jeu_100_25_4.txt_3_bestFirst	../jeu_100_25_4.txt_3_currentBest	../jeu_100_25_4.txt_3_bestBest	../jeu_100_75_2.txt_3_currentFirst	../jeu_100_75_2.txt_3_bestFirst	../jeu_100_75_2.txt_3_currentBest	../jeu_100_75_2.txt_3_bestBest	../jeu_200_25_8.txt_3_currentFirst	../jeu_200_25_8.txt_3_bestFirst	../jeu_200_25_8.txt_3_currentBest	../jeu_200_25_8.txt_3_bestBest	../jeu_200_75_5.txt_3_currentFirst	../jeu_200_75_5.txt_3_bestFirst	../jeu_200_75_5.txt_3_currentBest	../jeu_200_75_5.txt_3_bestBest	
13406.7	18946.7	43426.5	47815.5	12431	47006.3	92962.7	115869	82	60455.7	124008	124008	172299	175657	390682	390682	
13731.7	18946.7	43778.5	47815.5	12477	47006.3	93561.7	115869	100	60455.7	124008	124008	172360	175657	390682	390682	
13896.7	18946.7	44229.5	47815.5	12481	47006.3	95156.7	115869	49976.7	60455.7	124008	124008	172947	175657	390682	390682	
14104.7	18946.7	44405.5	47815.5	13891	47006.3	96613.7	115869	49992.7	60455.7	124008	124008	173187	175657	390682	390682	
14317.7	18946.7	44649.5	47815.5	13941	47006.3	97806.7	115869	50200.7	60455.7	124008	124008	175126	175657	390682	390682	
14359.7	18946.7	45093.5	47815.5	13950	47006.3	98981.7	115869	50882.7	60455.7	124008	124008	177614	177614	390682	390682	
14568.7	18946.7	45388.5	47815.5	14041	47006.3	99711.7	115869	51037.7	60455.7	124008	124008	178053	178053	390682	390682	
15155.7	18946.7	0	47815.5	14048	47006.3	100442	115869	52065.7	60455.7	124008	124008	180267	180267	390682	390682	
15317.7	18946.7	0	47815.5	14133	47006.3	101662	115869	52860.7	60455.7	124008	124008	181276	181276	390682	390682	
15318.7	18946.7	74	47815.5	14206	47006.3	102260	115869	52935.7	60455.7	124008	124008	181296	181296	390682	390682	
15554.7	18946.7	27979.5	47815.5	0	47006.3	103520	115869	53336.7	60455.7	124008	124008	0	181296	390682	390682	
15941.7	18946.7	30429.5	47815.5	0	47006.3	104334	115869	53340.7	60455.7	124008	124008	0	181296	390682	390682	
16066.7	18946.7	31797.5	47815.5	27	47006.3	105614	115869	53752.7	60455.7	124008	124008	1743	181296	390682	390682	
16428.7	18946.7	32523.5	47815.5	29	47006.3	107158	115869	54068.7	60455.7	124008	124008	1820	181296	390682	390682	
16506.7	18946.7	33171.5	47815.5	35478.3	47006.3	108147	115869	54363.7	60455.7	124008	124008	2389	181296	390682	390682	
16687.7	18946.7	33416.5	47815.5	36540.3	47006.3	109003	115869	54700.7	60455.7	124008	124008	3083	181296	390682	390682	
16737.7	18946.7	33737.5	47815.5	37464.3	47006.3	109817	115869	54799.7	60455.7	124008	124008	3721	181296	390682	390682	
17188.7	18946.7	33960.5	47815.5	38083.3	47006.3	110753	115869	55086.7	60455.7	124008	124008	3927	181296	390682	390682	
17270.7	18946.7	34419.5	47815.5	38854.3	47006.3	112254	115869	55250.7	60455.7	124008	124008	4161	181296	390682	390682	
17305.7	18946.7	34656.5	47815.5	39372.3	47006.3	113244	115869	55276.7	60455.7	124008	124008	5980	181296	390682	390682	
17309.7	18946.7	35154.5	47815.5	39560.3	47006.3	114265	115869	55822.7	60455.7	124008	124008	6621	181296	390682	390682	
17360.7	18946.7	35606.5	47815.5	39641.3	47006.3	115298	115869	56268.7	60455.7	124008	124008	8403	181296	390682	390682	
17452.7	18946.7	36071.5	47815.5	40691.3	47006.3	116524	116524	56949.7	60455.7	124008	124008	9865	181296	390682	390682	
17474.7	18946.7	36476.5	47815.5	41498.3	47006.3	117761	117761	56978.7	60455.7	124008	124008	9904	181296	390682	390682	
17751.7	18946.7	36776.5	47815.5	42570.3	47006.3	119058	119058	57011.7	60455.7	124008	124008	10063	181296	390682	390682	
17946.7	18946.7	37036.5	47815.5	43763.3	47006.3	119623	119623	57057.7	60455.7	124008	124008	10307	181296	390682	390682	
18337.7	18946.7	37581.5	47815.5	43783.3	47006.3	120744	120744	57579.7	60455.7	124008	124008	12044	181296	390682	390682	
